Metadata_pert_iname	Metadata_clinical_phase	Metadata_moa	Metadata_target	Metadata_disease_area	Metadata_indication
A-987306	Preclinical	histamine receptor antagonist	ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2		
AC-710	Preclinical	PDGFR tyrosine kinase receptor inhibitor	CSF1R|FLT3|KIT|PDGFRA|PDGFRB		
acalabrutinib	Phase 3	Bruton's tyrosine kinase (BTK) inhibitor	BTK		
acetohexamide	Launched	ATP channel blocker	ABCC8|KCNJ1|KCNJ10|KCNJ11	endocrinology	diabetes mellitus
acetylcysteine	Launched	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11	gastroenterology	acetaminophen overdose|hepatic injury
afimoxifene	Phase 2	estrogen receptor antagonist	ESR1|ESR2|ESRRG|PLD1|PRKCD|PRKCE|PRKCQ|PRKCZ		
AK-7	Preclinical	SIRT inhibitor	SIRT2		
alda-1	Preclinical	aldehyde dehydrogenase activator	ALDH2		
aloxistatin	Phase 3	protease inhibitor	CTSG		
alrestatin	Preclinical	aldose reductase inhibitor	AKR1B1		
AMG900	Phase 1	Aurora kinase inhibitor	AURKA|AURKB|AURKC		
amiloride	Launched	sodium channel blocker	AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2	cardiology	hypertension|congestive heart failure
aminopurvalanol-a	Preclinical	CDK inhibitor|tyrosine kinase inhibitor	CDK1|CDK2|CDK5|CDK6		
amlexanox	Launched	histamine receptor modulator	FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13	dental|pulmonary|ophthalmology|allergy	aphthous ulcers|asthma|conjunctivitis|allergic rhinitis
amlodipine	Launched	calcium channel blocker	CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1	cardiology	hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD)
anandamide	Phase 2	cannabinoid receptor agonist	CACNA1G|CACNA1H|CACNA1I|CNR1|CNR2|GLRA1|GPR18|GPR55|KCNA2|KCNK3|KCNK9|TRPM8|TRPV1		
anisomycin	Preclinical	DNA synthesis inhibitor	NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1		
ANR-94	Preclinical	A1 adenosine receptor antagonist	ADORA2A		
apatinib	Phase 3	RET tyrosine kinase inhibitor	CSK|KDR|KIT|RET		
AR-12	Phase 1	phosphoinositide dependent kinase inhibitor	PDPK1		
arcyriaflavin-a	Preclinical	CDK inhibitor	CCND1|CDK4		
aripiprazole	Launched	serotonin receptor agonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7	neurology/psychiatry	depression|schizophrenia|bipolar disorder
arundic-acid	Phase 2/Phase 3	astrocyte modulating agent	PTGS2|S100B		
ascorbic-acid	Launched	antioxidant	ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE	endocrinology	scurvy
AVL-292	Phase 2	Bruton's tyrosine kinase (BTK) inhibitor	BTK|YES1		
azacitidine	Launched	DNA methyltransferase inhibitor	DNMT1|DNMT3A	hematologic malignancy|hematology	myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
azathioprine	Launched	dehydrogenase inhibitor	HPRT1|IMPDH1|PPAT	transplant|rheumatology	renal homotransplantation|rheumatoid arthritis
AZD1283	Preclinical	purinergic receptor antagonist	P2RY12		
AZD7762	Phase 1	CHK inhibitor	CHEK1|CHEK2		
AZD9668	Phase 2	elastase inhibitor	ELANE		
azeliragon	Phase 3	RAGE receptor antagonist	AGER		
AZ191	Preclinical	DYRK inhibitor	DYRK1B		
A205804	Preclinical	ICAM1 expression inhibitor	ICAM1|SELE		
baclofen	Launched	benzodiazepine receptor agonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8	neurology/psychiatry	multiple sclerosis|spasms
BAM7	Preclinical	BAX activator	BAX		
BAN-ORL-24	Preclinical	nociceptin/orphanin FQ receptor antagonist	OPRL1		
batimastat	Phase 3	matrix metalloprotease inhibitor	ADAM28|ADAMTS5|MMP12|MMP16|MMP2|MMP8		
BAX-channel-blocker	Preclinical	cytochrome C release inhibitor	BAX		
BAY-87-2243	Phase 1	hypoxia inducible factor inhibitor	HIF1A		
benzamil	Phase 2	sodium channel blocker	ASIC1|PKD2L1|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC8A1		
bepridil	Launched	calcium channel blocker	ATP1A1|CACNA1A|CACNA1H|CACNA2D2|CALM1|KCNQ1|KCNQ4|PDE1A|PDE1B|TNNC1	cardiology	angina pectoris
BI-2536	Phase 2	PLK inhibitor	BRD4|PLK1|PLK2|PLK3		
BMS-536924	Preclinical	IGF-1 inhibitor	AKT1|CCNE1|CDK2|CYP3A4|ERBB2|IGF1R|KDR|LCK|MAPK1|MET|PDGFRA|PDGFRB		
BMS-587101	Phase 2	integrin antagonist	ITGAL|ITGB2		
BQ-788	Phase 1	endothelin receptor antagonist	EDNRB		
briciclib	Phase 1	cyclin D inhibitor	CCND1		
brinzolamide	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA5A|CA7	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
BRL-50481	Preclinical	phosphodiesterase inhibitor	PDE7A|PDE7B		
bufexamac	Withdrawn	cyclooxygenase inhibitor	HDAC10|HDAC6		
buparlisib	Phase 3	PI3K inhibitor	PIK3CA|PIK3CG		
BVT-948	Preclinical	tyrosine phosphatase inhibitor	PTPN1|PTPN11|PTPN2		
carzenide	Preclinical		CA1|CA12|CA14|CA2|CA6|CA9		
castanospermine	Phase 2	glucosidase inhibitor	GAA|GBA		
CC-401	Phase 1	JNK inhibitor	MAPK8		
CCG-50014	Preclinical	G protein signaling inhibitor	RGS4|RGS8		
CCG-63802	Preclinical	G protein signaling inhibitor	RGS4		
cediranib	Phase 3	KIT inhibitor|VEGFR inhibitor	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB		
ceritinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK|FLT3|IGF1R|INSR|TSSK1B	oncology	non-small cell lung cancer (NSCLC)
cetilistat	Phase 3	triacylglycerol lipase inhibitor	PNLIP		
CGP-53353	Preclinical	EGFR inhibitor|PKC inhibitor	EGFR|PRKCB		
cilostazol	Launched	phosphodiesterase inhibitor	PDE3A|PDE3B	cardiology	claudication
citric-acid	Preclinical	coagulation factor inhibitor	AKR1B1|ANG|APRT|BHMT|C8G|CA4|CPB1|CS|CTDSP1|GNMT|HGS|HS3ST3A1|IL4I1|ITPA|LSM6|MDH2|MIF|PDE5A|PKD2L1|PLEKHA1|RNASE1|RNASE3|SRC|TNFSF13B|UCK2		
colchicine	Launched	microtubule inhibitor	GLRA1|GLRA2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	rheumatology|endocrinology	gout|fever
conivaptan	Launched	vasopressin receptor antagonist	AVPR1A|AVPR2	endocrinology	hyponatremia
coumarin	Launched	vitamin K antagonist	CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP2A6	gastroenterology|pulmonary	ulcerative colitis|asthma|celiac disease
CP-724714	Phase 2	EGFR inhibitor|protein tyrosine kinase inhibitor	ERBB2		
CVT-10216	Phase 1	aldehyde dehydrogenase inhibitor	ALDH2		
cycloheximide	Preclinical	protein synthesis inhibitor	RPL3		
cyclophosphamide	Launched	DNA alkylating agent	CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7	hematologic malignancy|oncology	Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer
cyclosporine	Launched	calcineurin inhibitor	ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	transplant|rheumatology|dermatology	organ rejection|rheumatoid arthritis|psoriasis
CYM-50260	Preclinical	sphingosine 1 phosphate receptor agonist	S1PR4		
CYM-50358	Preclinical	sphingosine 1-phosphate receptor antagonist	S1PR4		
CYM-5442	Preclinical	sphingosine 1 phosphate receptor agonist	S1PR1		
CYM-5520	Preclinical	sphingosine 1 phosphate receptor agonist	S1PR2		
CYT-997	Phase 2	tubulin polymerization inhibitor	TUBB		
dalbavancin	Launched	bacterial cell wall synthesis inhibitor	PNLIP	infectious disease	skin infections
dalfampridine	Launched	potassium channel blocker	KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCNC4|KCND1|KCND2|KCND3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH2|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNJ13|KCNJ5|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2	neurology/psychiatry	multiple sclerosis
danusertib	Phase 2	Aurora kinase inhibitor|growth factor receptor inhibitor	AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|SLK		
DDR1-IN-1	Preclinical	discoidin domain receptor inhibitor	DDR1|DDR2		
deferasirox	Launched	chelating agent	CYP3A4	hematology	transfusional hemosiderosis|thalassemia|iron overload
delanzomib	Phase 1/Phase 2	proteasome inhibitor	CMA1|CTSG|CYP3A4|ELANE		
desonide	Launched	glucocorticoid receptor agonist	NR3C1|PLA2G1B	gastroenterology	Crohn's disease
dexamethasone	Launched	glucocorticoid receptor agonist	ANXA1|NOS2|NR0B1|NR3C1|NR3C2	endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology	hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
DG-172	Preclinical	PPAR receptor inverse agonist	PPARD		
diacerein	Launched	interleukin inhibitor	IL1B	rheumatology	osteoarthritis
dilazep	Launched	adenosine reuptake inhibitor	SLC29A1		
diltiazem	Launched	calcium channel blocker	CACNA1C|CACNA1S|CACNA2D1|CACNG1|HTR3A|KCNA5	cardiology	hypertension|angina pectoris
dinoprostone	Withdrawn	prostanoid receptor agonist	CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|TBXA2R		
DMSO	Preclinical	control vehicle			
droxinostat	Preclinical	HDAC inhibitor	HDAC6|HDAC8		
dyphylline	Launched	adenosine receptor antagonist|phosphodiesterase inhibitor	ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B	pulmonary	asthma|bronchitis|emphysema
edoxaban	Launched	coagulation factor inhibitor	F10	neurology/psychiatry|hematology|cardiology	stroke|pulmonary embolism (PE)|systemic embolism|deep vein thrombosis (DVT)|atrial fibrillation (AF)
efaproxiral	Phase 3	haemoglobin oxygen release stimulant	HBA1|HBB		
efaroxan	Phase 2	adrenergic receptor antagonist	ADORA2A		
EI1	Preclinical	histone lysine methyltransferase inhibitor	EZH2		
enflurane	Launched	membrane permeability inhibitor	ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9|KCNN4		
enilconazole	Launched	sterol demethylase inhibitor	CYP19A1|CYP1A2|CYP2B6|CYP2C9|CYP2J2|CYP3A4|CYP3A5|NR1I2|PPARA|PTGER2	infectious disease	skin infections
epoprostenol	Launched	prostacyclin analog	P2RY12|PTGER1|PTGER4|PTGIR|PTGIS	cardiology	hypertension
epothilone-b	Phase 3	microtubule stabilizing agent|tubulin polymerization inhibitor	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA4A|TUBA8|TUBB|TUBB1|TUBB3|TUBB4A|TUBB4B		
ethoxzolamide	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA13|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9	ophthalmology|gastroenterology	glaucoma|duodenal ulcer disease
ethyl-pyruvate	Phase 2	tumor necrosis factor production inhibitor	HMGB1|TNF		
felodipine	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2|CALM1|CFTR|NR3C2|PDE1A|PDE1B|TNNC1|TNNC2	cardiology	hypertension
FERb-033	Preclinical	EGFR inhibitor	ERBB2		
filgotinib	Phase 2	JAK inhibitor	JAK1|JAK2|JAK3|TYK2		
FK-866	Phase 2	niacinamide phosphoribosyltransferase inhibitor	NAMPT		
flindokalner	Phase 3	potassium channel agonist	KCNMA1|KCNN4|KCNQ2|KCNQ4|KCNQ5		
fludarabine	Launched	ribonucleotide reductase inhibitor	ADA|RRM1|RRM2	hematologic malignancy	chronic lymphocytic leukemia (CLL)
fludarabine-phosphate	Launched	ribonucleotide reductase inhibitor	DCK|POLA1|POLD1|POLE|RRM1|RRM2|RRM2B	hematologic malignancy	chronic lymphocytic leukemia (CLL)
flufenamic-acid	Preclinical	chloride channel blocker	AKR1C3|ANO1|AR|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3|PKD2L1|PTGS1|PTGS2|TRPC5|TRPM2|TRPM5		
flupirtine	Launched	glutamate receptor antagonist	ADRA2A|KCNQ1|KCNQ2	neurology/psychiatry	pain relief
fomepizole	Launched	alcohol dehydrogenase inhibitor	ADH1A|ADH1B|ADH1C|AKR1A1|CAT	critical care	poison antidote
formononetin	Preclinical	alcohol dehydrogenase inhibitor	ADH1C|SLC5A2		
FPS-ZM1	Preclinical	RAGE receptor antagonist	AGER		
gabapentin-enacarbil	Launched	adrenergic receptor agonist	CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8	neurology/psychiatry	restless leg syndrome|postherpetic neuralgia
ganetespib	Phase 3	HSP inhibitor	HSP90AA1		
geldanamycin	Preclinical	HSP inhibitor	HSP90AA1|HSP90AB1		
GK921	Preclinical	transglutaminase inhibitor	TGM2		
glutamine-(l)	Launched		CTPS1|GLUL|GPRC6A|PPAT	gastroenterology|dental|neurology/psychiatry|rheumatology	diarrhea|mucositis|muscle pain|joint pain|peptic ulcer disease (PUD)|ulcerative colitis|Crohn's disease|anxiety|insomnia
glyburide	Launched	ATP channel blocker|insulin secretagogue|sulfonylurea	ABCA1|ABCB11|ABCC8|ABCC9|CFTR|CPT1A|KCNJ1|KCNJ11|KCNJ5|KCNJ8|SLCO2B1	endocrinology	diabetes mellitus|hyperglycemia
GNF-5	Preclinical	Bcr-Abl kinase inhibitor	ABL1|BCR		
GNF-5837	Preclinical	growth factor receptor inhibitor	NTRK1|NTRK2|NTRK3		
GSK-37647	Preclinical	free fatty acid receptor agonist	FFAR4		
GSK1070916	Phase 1	Aurora kinase inhibitor	AURKA|AURKB|AURKC|CYP2D6|CYP3A4		
GSK2110183	Phase 2	AKT inhibitor	AKT1|AKT2|AKT3		
GSK3787	Preclinical	PPAR receptor antagonist	PPARD		
guanidine	Launched	HSP inhibitor	ALDH2|DLG4|GAMT|RNASE1	neurology/psychiatry	Lambert-Eaton myasthenic syndrome (LEMS)
GW-311616	Phase 1	leukocyte elastase inhibitor|elastase inhibitor	ELANE		
halopemide	Phase 2	phospholipase inhibitor	PLD1|PLD2		
hexestrol	Launched	synthetic estrogen	AKR1C1|ESR1|ESR2		
homoharringtonine	Launched	protein synthesis inhibitor	RPL3	hematologic malignancy	chronic myeloid leukemia (CML)
H2L-5765834	Preclinical	lysophosphatidic acid receptor antagonist	LPAR1|LPAR3		
ibudilast	Launched	leukotriene receptor antagonist|phosphodiesterase inhibitor	IL1B|IL6|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A	pulmonary|neurology/psychiatry	asthma|stroke
ibutamoren	Phase 2	growth hormone secretagogue receptor agonist	GHR|GHSR		
ibutilide	Launched	potassium channel blocker	CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6	cardiology	atrial fibrillation (AF)
ilomastat	Phase 3	matrix metalloprotease inhibitor	ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9		
ingenol-mebutate	Launched	PKC activator	PRKCA|PRKCB|PRKCD|PRKCE|PRKCG	dermatology	actinic keratosis (AK)
IRL-2500	Preclinical	endothelin receptor antagonist	EDNRB		
isoflurane	Launched	inhaled anaesthetic	ATP2C1|ATP5D|CALM1|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9	neurology/psychiatry	general anaesthetic
IWP-L6	Preclinical	porcupine inhibitor	PORCN		
ixabepilone	Launched	microtubule stabilizing agent	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	oncology	breast cancer
JTE-013	Preclinical	lysophospholipid receptor antagonist	P2RY10|S1PR2		
JTE-607	Phase 2	cytokine production inhibitor	IL10|IL1B|IL6|TNF		
KG-5	Preclinical	RAF inhibitor	BRAF|FLT3|KIT|PDGFRB		
KH-CB19	Preclinical	CDC inhibitor	CLK1|CLK3|DYRK1A		
KI-16425	Preclinical	lysophosphatidic acid receptor antagonist	LPAR1|LPAR3		
KU-55933	Preclinical	ATM kinase inhibitor	ATM|PRKDC		
KU-60019	Preclinical	ATM kinase inhibitor	ATM		
L-Cystine	Launched		CTNS|SLC3A1|SLC7A11|SLC7A9		
